Symbol	CompanyName	Industry	MarketCap	HitsOnWSB
SBS	Companhia de Saneamento Basico do Estado de Sao Paulo SABESP	Water Utilities	"4.82B
"	1657
PYPL	PayPal Holdings	IT Services	"206.55B
"	811
GRUB	Just Eat Takeaway.com	Internet & Direct Marketing Retail	"10.73B
"	695
MYSZ	My Size	Software	"9.13M
"	603
WOOF	Petco Health And Wellness Company	Specialty Retail	"5.02B
"	601
TMC	TMC the metals company	Other Industrial Metals & Mining	"353.66M
"	570
AMD	Advanced Micro Devices	Semiconductors & Semiconductor Equipment	"141.02B
"	556
AMZN	Amazon.com	Internet & Direct Marketing Retail	"""1,533.55B""
"	495
SPOT	Spotify Technology	Entertainment	"39.00B
"	467
TSLA	Tesla	Automobiles	"935.22B
"	337
PAA	"""Plains All American Pipeline,"""	"""Oil, Gas & Consumable Fuels"""	"8.04B
"	314
GME	GameStop	Specialty Retail	"8.60B
"	302
BBY	Best Buy Co.	Specialty Retail	"24.16B
"	289
BGFV	Big 5 Sporting Goods	Specialty Retail	"444.43M
"	276
TWOA	two	Blank Check / SPAC	"265.89M
"	276
MTCH	Match Group	Interactive Media & Services	"31.73B
"	274
QCOM	Qualcomm	Semiconductors & Semiconductor Equipment	"199.29B
"	262
F	Ford Motor Company	Automobiles	"82.56B
"	260
GOOG	Alphabet	Interactive Media & Services	"""1,827.60B""
"	227
GOOGL	Alphabet	Interactive Media & Services	"""1,829.82B""
"	212
SNAP	"""Snap, Inc."""	Interactive Media & Services	"54.19B
"	206
MSFT	Microsoft	Software	"""2,314.73B""
"	188
SDH	Global Internet of People	Consulting Services	"32.62M
"	187
GFGD	Growth For Good Acquisition	Blank Check / SPAC	"295.20M
"	186
NFLX	Netflix	Entertainment	"202.95B
"	173
WFCF	Where Food Comes From	Software	"72.16M
"	170
HOOD	Robinhood Markets	Software-Infrastructure	"12.24B
"	135
NVDA	NVIDIA	Semiconductors & Semiconductor Equipment	"613.98B
"	133
AAPL	Apple	"""Technology Hardware, Storage & Periph..."""	"""2,849.53B""
"	115
ONON	On Holding AG	Apparel Retail	"8.78B
"	91
UP	Wheels Up Experience	Airports & Air Services	"970.67M
"	90
DD	DuPont de Nemours	Chemicals	"40.36B
"	89
TNL	Travel + Leisure Co.	"""Hotels, Restaurants & Leisure"""	"4.99B
"	89
YOU	Clear Secure	Software-Application	"1.92B
"	89
IS	ironSource	Software-Application	"7.08B
"	85
SOFI	SoFi Technologies	Credit Services	"10.61B
"	84
HOPE	Hope Bancorp	Banks	"2.02B
"	83
NDAQ	Nasdaq	Capital Markets	"30.12B
"	83
LTH	Life Time Group Holdings	Leisure	"3.01B
"	81
PLTR	Palantir Technologies	Software	"28.47B
"	81
JOE	The St. Joe Company	Real Estate Management & Development	"2.84B
"	79
SNPO	Snap One Holdings	Electronics & Computer Distribution	"1.43B
"	72
DOW	Dow Inc.	Chemicals	"45.44B
"	68
SQ	Block	IT Services	"58.86B
"	61
PINS	Pinterest	Interactive Media & Services	"19.57B
"	59
U	Unity Software	Software	"31.50B
"	59
ELMS	Electric Last Mile Solutions	Auto Manufacturers	"693.32M
"	57
SVNA	7 Acquisition	Blank Check / SPAC	"247.75M
"	55
FWRG	First Watch Restaurant Group	Restaurants	"914.07M
"	54
IRS	IRSA Inversiones y Representaciones	Real Estate Management & Development	"624.59M
"	54
OSS	One Stop Systems	"""Technology Hardware, Storage & Periph..."""	"76.16M
"	52
FOR	Forestar Group	Real Estate Management & Development	"1.01B
"	51
TWTR	Twitter	Interactive Media & Services	"30.48B
"	49
SYBT	Stock Yards Bancorp	Banks	"1.58B
"	46
VGFC	The Very Good Food Company	Packaged Foods	"73.45M
"	46
WEN	The Wendy's Company	"""Hotels, Restaurants & Leisure"""	"5.11B
"	46
HUT	Hut 8 Mining	Capital Markets	"1.08B
"	45
SHOP	Shopify	IT Services	"123.26B
"	45
BHSE	Bull Horn Holdings	Blank Check / SPAC	"94.03M
"	44
TA	TravelCenters of America	Specialty Retail	"691.88M
"	43
LMAO	LMF Acquisition Opportunities	Blank Check / SPAC	"130.93M
"	42
PM	Philip Morris International	Tobacco	"160.74B
"	42
RBLX	Roblox	Electronic Gaming & Multimedia	"39.22B
"	42
RC	Ready Capital	Mortgage Real Estate Investment Trus...	"1.20B
"	41
ARE	Alexandria Real Estate Equities	Equity Real Estate Investment Trusts...	"31.22B
"	40
DIS	The Walt Disney Company	Entertainment	"263.04B
"	40
DWAC	Digital World Acquisition	Blank Check / SPAC	"3.10B
"	40
UPS	United Parcel Service	Air Freight & Logistics	"200.50B
"	40
FLIC	The First of Long Island Corporation	Banks	"517.22M
"	39
V	"""Visa, Inc."""	IT Services	"503.18B
"	39
INTC	Intel	Semiconductors & Semiconductor Equipment	"199.32B
"	38
BIG	Big Lots	Multiline Retail	"1.33B
"	37
ALL	The Allstate Corporation	Insurance	"34.03B
"	35
BRIV	B. Riley Principal 250 Merger	Blank Check / SPAC	"214.42M
"	35
IMXI	International Money Express	IT Services	"617.82M
"	34
BB	BlackBerry	Software	"4.66B
"	33
DSAQ	Direct Selling Acquisition	Blank Check / SPAC	"286.35M
"	33
GET	Getnet Adquirencia E Servicos Para Meios De Pagamento	"""Data Processing, Hosting, and Related..."""	"1.19B
"	33
NMTR	9 Meters Biopharma	Pharmaceuticals	"192.06M
"	33
R	Ryder System	Road & Rail	"3.98B
"	33
FWAC	Fifth Wall Acquisition III	Blank Check / SPAC	"344.00M
"	32
SBUX	Starbucks	"""Hotels, Restaurants & Leisure"""	"114.02B
"	32
IVCB	Investcorp Europe Acquisition Corp I	Blank Check / SPAC	"363.59M
"	31
BRPM	B. Riley Principal 150 Merger	Blank Check / SPAC	"217.73M
"	30
WE	WeWork	Real Estate Services	"6.13B
"	30
WISH	ContextLogic	Internet & Direct Marketing Retail	"1.84B
"	30
TV	Grupo Televisa SAB	Media	"5.84B
"	29
AR	Antero Resources	"""Oil, Gas & Consumable Fuels"""	"6.31B
"	28
ATVI	Activision Blizzard	Entertainment	"61.59B
"	27
NOW	ServiceNow	Software	"116.72B
"	27
ADP	Automatic Data Processing	IT Services	"86.42B
"	26
DAWN	Day One Biopharmaceuticals	Biotechnology	"925.84M
"	26
C	Citigroup	Banks	"132.07B
"	24
FREE	Whole Earth Brands	Packaged Foods	"371.31M
"	24
RHI	Robert Half International	Professional Services	"12.76B
"	24
AFAQ	AF Acquisition	Blank Check / SPAC	"270.76M
"	23
BE	Bloom Energy	Electrical Equipment	"2.67B
"	23
CLOV	"""Clover Health Investments,"""	Healthcare Plans	"1.32B
"	23
FICO	Fair Isaac	Software	"13.08B
"	23
