Symbol	HitsOnWSB	Company Name	industry	"Market Cap
"
FB	7983	Meta Platforms	Interactive Media & Services	"887.38B
"
GME	4729	GameStop	Specialty Retail	"8.60B
"
AMZN	3355	Amazon.com	Internet & Direct Marketing Retail	"""1,533.55B""
"
AMD	3181	Advanced Micro Devices	Semiconductors & Semiconductor Equipment	"141.02B
"
TSLA	2227	Tesla	Automobiles	"935.22B
"
PTON	2060	Peloton Interactive	Leisure Products	"9.25B
"
SNAP	1718	"""Snap, Inc."""	Interactive Media & Services	"54.19B
"
F	1267	Ford Motor Company	Automobiles	"82.56B
"
PYPL	1228	PayPal Holdings	IT Services	"206.55B
"
AMC	1209	AMC Entertainment Holdings	Entertainment	"8.65B
"
NVDA	1162	NVIDIA	Semiconductors & Semiconductor Equipment	"613.98B
"
DIS	1039	The Walt Disney Company	Entertainment	"263.04B
"
AAPL	946	Apple	"""Technology Hardware, Storage & Periph..."""	"""2,849.53B""
"
HOOD	930	Robinhood Markets	Software-Infrastructure	"12.24B
"
GOOG	773	Alphabet	Interactive Media & Services	"""1,827.60B""
"
GOOGL	765	Alphabet	Interactive Media & Services	"""1,829.82B""
"
MSFT	701	Microsoft	Software	"""2,314.73B""
"
MTCH	654	Match Group	Interactive Media & Services	"31.73B
"
TA	634	TravelCenters of America	Specialty Retail	"691.88M
"
AFRM	617	Affirm Holdings	IT Services	"18.96B
"
PLTR	603	Palantir Technologies	Software	"28.47B
"
U	596	Unity Software	Software	"31.50B
"
QCOM	523	Qualcomm	Semiconductors & Semiconductor Equipment	"199.29B
"
SPOT	522	Spotify Technology	Entertainment	"39.00B
"
RH	498	RH	Specialty Retail	"8.85B
"
BABA	495	Alibaba Group Holding	Internet & Direct Marketing Retail	"344.88B
"
NFLX	452	Netflix	Entertainment	"202.95B
"
DWAC	412	Digital World Acquisition	Blank Check / SPAC	"3.10B
"
SOFI	390	SoFi Technologies	Credit Services	"10.61B
"
PM	368	Philip Morris International	Tobacco	"160.74B
"
RBLX	357	Roblox	Electronic Gaming & Multimedia	"39.22B
"
GM	335	General Motors Company	Automobiles	"78.50B
"
BB	329	BlackBerry	Software	"4.66B
"
SQ	307	Block	IT Services	"58.86B
"
CRSR	290	Corsair Gaming	"""Technology Hardware, Storage & Periph..."""	"1.90B
"
YOU	282	Clear Secure	Software-Application	"1.92B
"
RIVN	280	Rivian Automotive	Auto Manufacturers	"61.50B
"
CLF	277	Cleveland-Cliffs	Metals & Mining	"9.22B
"
X	271	United States Steel	Metals & Mining	"5.83B
"
PFE	257	Pfizer	Pharmaceuticals	"297.88B
"
PINS	257	Pinterest	Interactive Media & Services	"19.57B
"
WISH	257	ContextLogic	Internet & Direct Marketing Retail	"1.84B
"
IS	249	ironSource	Software-Application	"7.08B
"
UPS	244	United Parcel Service	Air Freight & Logistics	"200.50B
"
TLRY	240	Tilray	Pharmaceuticals	"2.90B
"
NIO	233	NIO Inc.	Automobiles	"39.51B
"
TV	233	Grupo Televisa SAB	Media	"5.84B
"
TWTR	223	Twitter	Interactive Media & Services	"30.48B
"
V	218	"""Visa, Inc."""	IT Services	"503.18B
"
R	217	Ryder System	Road & Rail	"3.98B
"
UBER	217	Uber Technologies	Road & Rail	"74.91B
"
IMO	216	Imperial Oil	"""Oil, Gas & Consumable Fuels"""	"30.11B
"
SAVA	210	Cassava Sciences	Pharmaceuticals	"1.84B
"
C	208	Citigroup	Banks	"132.07B
"
ATVI	204	Activision Blizzard	Entertainment	"61.59B
"
SBUX	203	Starbucks	"""Hotels, Restaurants & Leisure"""	"114.02B
"
AI	199	C3.ai	Software	"2.80B
"
ALL	193	The Allstate Corporation	Insurance	"34.03B
"
L	192	Loews	Insurance	"15.37B
"
DKNG	187	DraftKings	"""Hotels, Restaurants & Leisure"""	"9.63B
"
IQ	186	iQIYI	Entertainment	"3.58B
"
AM	185	Antero Midstream	"""Oil, Gas & Consumable Fuels"""	"4.80B
"
IT	183	Gartner	IT Services	"24.32B
"
SHOP	183	Shopify	IT Services	"123.26B
"
